"X","Site","Date","CO","NO2","NO2_caps","ozone","PM2.5_MO","PM2.5_FEM","RH","SO2","Temperature","Temperature_10_m","Wind_Direction_s","Wind_Direction_v","Wind_Speed_p","Wind_Speed_s","Ozone_8hr_avg","PM2.5_MO_24hr_avg","PM2.5_FEM_24hr_avg","CO_8hr_avg","PM2.5MO_SubIndex","PM2.5FEM_SubIndex","PM2.5_1hrMO_SubIndex","PM2.5_1hrFEM_SubIndex","X03_SubIndex","CO_SubIndex","SO2_SubIndex","NO2_SubIndex","NO2_CAPS_SubIndex","AQI_calculated","Fremont.Bridge.Total","Fremont.Bridge.East.Sidewalk","Fremont.Bridge.West.Sidewalk","Spokane.St..Bridge.Total","West","East","precip_accum_one_hour_set_1","AQI_bucket_calculated","AQI_calculated_where","AQI_Cause","mPM","mNO2","mWS","mWD","DOW","weekday","month","AQ_cat"
34,"Seattle 10th & Weller",2014-06-24,0.557558333333333,23.3804166666667,NA,NA,NA,5.97083333333333,NA,NA,NA,66.0416666666667,223.208333333333,NA,NA,4.58333333333333,NA,NA,5.62739261794968,0.463083764880952,0,23.447469241457,0,24.8784722222222,0,5.26231551001082,0,22.0569968553459,0,26.4583333333333,4342,2206,2136,1172,596,576,0.06,"Good","PM2.5FEM_SubIndex","PM2.5",5.97083333333333,23.3804166666667,4.58333333333333,223.208333333333,3,"Tue","%b","less"
35,"Seattle 10th & Weller",2014-06-25,0.54314,23.0715,NA,NA,NA,8.57916666666667,NA,NA,NA,67,270.75,NA,NA,4.2,NA,NA,8.65694444444444,0.535388764880952,0,36.0004464463122,0,34.9351007391512,0,6.08396323728355,0,18.1379716981132,0,36.0833333333333,4532,2188,2344,1374,660,714,0,"Good","PM2.5FEM_SubIndex","PM2.5",8.57916666666667,23.0715,4.2,270.75,4,"Wed","%b","less"
37,"Seattle 10th & Weller",2014-06-27,0.428665,15.7345,NA,NA,NA,4.1875,NA,NA,NA,62.4166666666667,175.5,NA,NA,7.53333333333333,NA,NA,8.75052083333333,0.532585181704261,0,35.2538689943968,0,17.4479166666667,0,4.79124926722583,0,12.3698899371069,0,35.875,2871,1456,1415,710,352,358,1.19,"Good","PM2.5FEM_SubIndex","PM2.5",4.1875,15.7345,7.53333333333333,175.5,6,"Fri","%b","less"
38,"Seattle 10th & Weller",2014-06-28,0.416308333333333,13.5004166666667,NA,NA,NA,3.65,NA,NA,NA,62.4166666666667,200.166666666667,NA,NA,9.30833333333333,NA,NA,3.68298611111111,0.434035416666667,0,15.345775462963,0,15.2083333333333,0,4.93222064393939,0,12.7362421383648,0,16,1780,923,857,549,263,286,3.083333333,"Good","PM2.5FEM_SubIndex","PM2.5",3.65,13.5004166666667,9.30833333333333,200.166666666667,7,"Sat","%b","less"
39,"Seattle 10th & Weller",2014-06-29,0.479675,16.3641666666667,NA,NA,NA,5.35416666666667,NA,NA,NA,62.4583333333333,207.666666666667,NA,NA,5.2625,NA,NA,7.65815972222222,0.516865699404762,0,31.9089988425926,0,22.131169527897,0,5.87347385687229,0,15.437893081761,0,32.9166666666667,2312,1262,1050,781,380,401,0.03,"Good","PM2.5FEM_SubIndex","PM2.5",5.35416666666667,16.3641666666667,5.2625,207.666666666667,1,"Sun","%b","less"
40,"Seattle 10th & Weller",2014-06-30,0.42653,14.7105,NA,NA,NA,6.35,NA,NA,NA,65.7083333333333,167.5,NA,NA,5.01666666666667,NA,NA,8.62708333333333,0.675101760912698,0,34.5320385769353,0,26.4583333333333,0,7.67161091946248,0,11.564858490566,0,34.5833333333333,4802,2403,2399,1359,685,674,0,"Good","PM2.5FEM_SubIndex","PM2.5",6.35,14.7105,5.01666666666667,167.5,2,"Mon","%b","less"
42,"Seattle 10th & Weller",2014-07-02,NA,26.6384210526316,NA,NA,NA,9.12916666666667,NA,NA,NA,69.5416666666667,218.458333333333,NA,NA,5.49166666666667,NA,NA,8.42934027777778,0.572446577380952,0,34.9735112660944,0,37.0009984501669,0,6.50507474296537,0,19.8950471698113,0,35.125,4742,2313,2429,1395,691,704,0,"Good","PM2.5FEM_SubIndex","PM2.5",9.12916666666667,26.6384210526316,5.49166666666667,218.458333333333,4,"Wed","%b","less"
43,"Seattle 10th & Weller",2014-07-03,NA,20.2070833333333,NA,NA,NA,4.7,NA,NA,NA,63.375,190.916666666667,NA,NA,5.125,NA,NA,6.65426630434783,0.352209375,0,27.7261096014493,0,19.5833333333333,0,4.00237926136363,0,19.063286163522,0,27.75,3759,1864,1895,1060,524,536,0,"Good","PM2.5FEM_SubIndex","PM2.5",4.7,20.2070833333333,5.125,190.916666666667,5,"Thu","%b","less"
44,"Seattle 10th & Weller",2014-07-04,NA,14.29,NA,NA,NA,8.32083333333333,NA,NA,NA,63.0833333333333,169.625,NA,NA,4.29166666666667,NA,NA,3.19461719289165,0.292450992063492,0,13.3109049703819,0,31.3136134745017,0,3.32330672799423,0,11.2342767295597,0,16.5416666666667,3284,1545,1739,898,447,451,0,"Good","PM2.5FEM_SubIndex","PM2.5",8.32083333333333,14.29,4.29166666666667,169.625,6,"Fri","%b","less"
45,"Seattle 10th & Weller",2014-07-05,NA,18.7554166666667,NA,NA,NA,18.6458333333333,NA,NA,NA,66.0833333333333,225.375,NA,NA,3.95416666666667,NA,NA,3.54153148331137,0.406524479166667,0,14.7563811804641,0,61.1618704664237,0,4.61959635416666,0,17.6937893081761,0,19.75,1976,1004,972,621,310,311,0,"Good","NO2_SubIndex","NO2",18.6458333333333,18.7554166666667,3.95416666666667,225.375,7,"Sat","%b","less"
